,EVALID,PLOTID,STATECD,CONDID,SUBP,STATUSCD,STANDING_DEAD_CD,SPCD,scientific,NBR_STEMS,DIA,TPA_UNADJ,OWNGRPCD,FIA_LANDUSE,ITREE_LANDUSE,LEAF_AREA_ITREE,CROWN_DIEBACK_CD,IS_MAINTAINED_AREA,IS_STREET_TREE,IS_PLANTED
14807,AustinTX2022Curr,1114640,48,1,1,Live,NA,756,Prosopis glandulosa,1,5.3,6.018046286,Private,Forest land,Unused/Other,132.1204643,5,0,0,2
14808,AustinTX2022Curr,1114652,48,1,1,Live,NA,8851,Ulmus parvifolia,1,10.4,6.018046286,StateLocal,Rights-of-Way,Residential,2417.151882,5,1,1,1
14809,AustinTX2022Curr,1114652,48,2,1,Live,NA,973,Ulmus crassifolia,1,7.3,6.018046286,Private,Residential,Residential,1449.167598,5,1,0,1
14810,AustinTX2022Curr,1114652,48,2,1,Live,NA,973,Ulmus crassifolia,1,7.8,6.018046286,Private,Residential,Residential,1316.81863,5,1,0,1
14816,AustinTX2022Curr,1114806,48,1,1,Live,NA,7578,Ligustrum lucidum,1,15,6.018046286,Private,Residential,Residential,5518.869943,0,0,0,2
14817,AustinTX2022Curr,1114731,48,1,1,Live,NA,993,Melia azedarach,1,5.7,6.018046286,Private,Residential,Residential,1094.486037,0,1,0,1
14818,AustinTX2022Curr,1114719,48,1,1,Live,NA,61,Juniperus ashei,1,7.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,632.8097821,0,0,0,2
14819,AustinTX2022Curr,1114719,48,1,1,Live,NA,61,Juniperus ashei,1,7.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1018.55771,0,0,0,2
14840,AustinTX2022Curr,1114719,48,1,1,Live,NA,61,Juniperus ashei,1,9.4,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,788.36335,0,0,0,2
14841,AustinTX2022Curr,1114555,48,1,14,Live,NA,404,Carya illinoinensis,1,4.1,74.96528245,Private,Forest land,Cemetery/Park/Golf,299.9162607,0,0,0,2
14854,AustinTX2022Curr,1120068,48,1,1,Live,NA,404,Carya illinoinensis,1,20.1,6.018046286,Private,Residential,Residential,4930.824188,0,1,0,1
14866,AustinTX2022Curr,1114774,48,1,1,Live,NA,61,Juniperus ashei,1,8.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,593.9977211,0,0,0,2
14867,AustinTX2022Curr,1114774,48,1,1,Live,NA,61,Juniperus ashei,3,9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,495.7366159,0,0,0,2
14868,AustinTX2022Curr,1114774,48,1,12,Live,NA,61,Juniperus ashei,1,2.7,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,108.556534,0,0,0,2
14869,AustinTX2022Curr,1114774,48,1,1,Live,NA,8513,Quercus buckleyi,1,5.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,909.5793269,0,0,0,2
14870,AustinTX2022Curr,1114783,48,1,13,Live,NA,61,Juniperus ashei,1,3.9,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,139.6463107,0,0,0,2
14883,AustinTX2022Curr,1114783,48,1,1,Live,NA,61,Juniperus ashei,1,24.4,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,5580.079047,0,0,0,2
14884,AustinTX2022Curr,1114783,48,1,1,Live,NA,61,Juniperus ashei,1,6.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,598.4764136,0,0,0,2
14885,AustinTX2022Curr,1114783,48,1,1,Live,NA,8513,Quercus buckleyi,1,9.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1875.373248,0,0,0,2
14898,AustinTX2022Curr,1114768,48,1,1,Live,NA,61,Juniperus ashei,1,11.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,896.1866443,0,0,0,2
14899,AustinTX2022Curr,1114768,48,1,1,Dead,No,61,Juniperus ashei,NA,NA,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,NA,NA,NA,NA,NA
14900,AustinTX2022Curr,1114761,48,2,1,Live,NA,7532,Lagerstroemia indica,2,6,6.018046286,StateLocal,Rights-of-Way,Residential,233.0192558,0,1,1,2
14901,AustinTX2022Curr,1114761,48,2,1,Live,NA,838,Quercus virginiana,1,17.9,6.018046286,StateLocal,Rights-of-Way,Residential,4256.072081,10,1,0,2
14902,AustinTX2022Curr,1114650,48,1,1,Live,NA,61,Juniperus ashei,1,13.9,6.018046286,Private,Multi-family,Multi-family,1143.378287,10,1,1,2
14911,AustinTX2022Curr,1114791,48,1,1,Live,NA,61,Juniperus ashei,10,13.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1655.245519,5,0,0,2
14912,AustinTX2022Curr,1114791,48,1,1,Live,NA,61,Juniperus ashei,1,7.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,431.1335628,0,0,0,2
14913,AustinTX2022Curr,1114669,48,1,1,Live,NA,973,Ulmus crassifolia,1,11.4,6.018046286,Private,Residential,Residential,7092.79926,5,1,0,2
14914,AustinTX2022Curr,1114669,48,1,1,Live,NA,973,Ulmus crassifolia,1,13.1,6.018046286,Private,Residential,Residential,7830.245534,0,1,0,2
14922,AustinTX2022Curr,1114601,48,1,1,Dead,Yes,993,Melia azedarach,1,9.3,6.018046286,Private,Multi-family,Multi-family,0,NA,1,0,2
14923,AustinTX2022Curr,1114565,48,1,1,Live,NA,463,Celtis laevigata var. reticulata,1,5.7,6.018046286,StateLocal,Residential,Residential,953.9029791,0,0,0,2
14924,AustinTX2022Curr,1114565,48,1,1,Live,NA,463,Celtis laevigata var. reticulata,1,6.3,6.018046286,StateLocal,Residential,Residential,1085.700274,0,0,0,2
14925,AustinTX2022Curr,1114727,48,1,1,Live,NA,838,Quercus virginiana,1,6,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,495.6091744,5,0,0,2
14926,AustinTX2022Curr,1114727,48,1,1,Live,NA,838,Quercus virginiana,1,8.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1136.069039,5,0,0,2
14927,AustinTX2022Curr,1114712,48,1,1,No Status,NA,834,Quercus shumardii,1,NA,6.018046286,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,NA,NA,NA,NA,NA
14928,AustinTX2022Curr,1120066,48,1,1,Live,NA,838,Quercus virginiana,1,11.5,6.018046286,Private,Residential,Residential,2868.339957,0,1,0,2
14932,AustinTX2022Curr,1114786,48,1,1,Dead,Yes,61,Juniperus ashei,10,12.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,0,NA,0,0,2
14933,AustinTX2022Curr,1114764,48,1,1,Live,NA,838,Quercus virginiana,2,14.8,6.018046286,Private,Residential,Residential,3867.617122,0,1,0,2
14934,AustinTX2022Curr,1114771,48,1,1,Live,NA,61,Juniperus ashei,1,6.3,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,281.0102982,0,0,0,2
14935,AustinTX2022Curr,1114771,48,1,1,Live,NA,61,Juniperus ashei,1,7.1,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,330.8708447,0,0,0,2
14943,AustinTX2022Curr,1114772,48,1,1,Dead,No,61,Juniperus ashei,NA,NA,6.018046286,StateLocal,Forest land,Unused/Other,NA,NA,NA,NA,NA
14944,AustinTX2022Curr,1114772,48,1,1,Dead,Yes,838,Quercus virginiana,1,5.8,6.018046286,StateLocal,Forest land,Unused/Other,0,NA,0,0,2
14945,AustinTX2022Curr,1114763,48,1,1,Live,NA,61,Juniperus ashei,2,7.5,6.018046286,Private,Forest land,Unused/Other,352.8524976,0,0,0,2
14946,AustinTX2022Curr,1114763,48,1,1,Live,NA,61,Juniperus ashei,1,10.4,6.018046286,Private,Forest land,Unused/Other,670.0050853,0,0,0,2
14947,AustinTX2022Curr,1114763,48,1,1,Live,NA,61,Juniperus ashei,1,6.2,6.018046286,Private,Forest land,Unused/Other,285.3856397,0,0,0,2
14948,AustinTX2022Curr,1114763,48,1,1,Live,NA,61,Juniperus ashei,1,5.4,6.018046286,Private,Forest land,Unused/Other,213.8295931,0,0,0,2
14949,AustinTX2022Curr,1114763,48,1,1,Live,NA,61,Juniperus ashei,1,7.1,6.018046286,Private,Forest land,Unused/Other,207.8984519,0,0,0,2
14950,AustinTX2022Curr,1114763,48,1,1,Live,NA,61,Juniperus ashei,1,9.7,6.018046286,Private,Forest land,Unused/Other,735.4946752,0,0,0,2
14951,AustinTX2022Curr,1114763,48,1,1,Live,NA,61,Juniperus ashei,5,5.9,6.018046286,Private,Forest land,Unused/Other,235.4305215,0,0,0,2
14952,AustinTX2022Curr,1114771,48,1,1,Live,NA,61,Juniperus ashei,1,8.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,523.7508464,0,0,0,2
14953,AustinTX2022Curr,1114771,48,1,1,Live,NA,61,Juniperus ashei,1,14.3,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1395.176499,0,0,0,2
14954,AustinTX2022Curr,1114762,48,1,1,Dead,No,61,Juniperus ashei,NA,NA,6.018046286,Private,Forest land,Unused/Other,NA,NA,NA,NA,NA
14955,AustinTX2022Curr,1114762,48,1,1,Live,NA,61,Juniperus ashei,1,6.2,6.018046286,Private,Forest land,Unused/Other,434.0377168,0,0,0,2
14965,AustinTX2022Curr,1114766,48,2,1,Live,NA,838,Quercus virginiana,1,14.9,6.018046286,Private,Forest land,Unused/Other,4192.846911,5,0,0,2
14966,AustinTX2022Curr,1114762,48,1,1,Dead,No,61,Juniperus ashei,NA,NA,6.018046286,Private,Forest land,Unused/Other,NA,NA,NA,NA,NA
14967,AustinTX2022Curr,1114739,48,1,12,Live,NA,7469,Ilex vomitoria,1,1.1,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,49.93524064,0,0,0,2
14968,AustinTX2022Curr,1114739,48,1,1,Live,NA,61,Juniperus ashei,2,11.2,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,984.6105505,0,0,0,2
14977,AustinTX2022Curr,1114801,48,1,1,Live,NA,61,Juniperus ashei,2,10.1,6.018046286,Private,Forest land,Unused/Other,660.8899661,5,0,0,2
14978,AustinTX2022Curr,1114801,48,1,11,Live,NA,7578,Ligustrum lucidum,1,2.4,74.96528245,Private,Forest land,Unused/Other,93.13488702,0,0,0,2
14979,AustinTX2022Curr,1114801,48,1,1,Live,NA,61,Juniperus ashei,1,5.9,6.018046286,Private,Forest land,Unused/Other,234.379487,0,0,0,2
14980,AustinTX2022Curr,1114801,48,1,1,Dead,No,61,Juniperus ashei,NA,NA,6.018046286,Private,Forest land,Unused/Other,NA,NA,NA,NA,NA
14981,AustinTX2022Curr,1114832,48,1,1,Live,NA,61,Juniperus ashei,1,13.6,6.018046286,Private,Forest land,Unused/Other,2011.201847,0,0,0,2
14982,AustinTX2022Curr,1114805,48,1,12,Live,NA,61,Juniperus ashei,2,3.4,74.96528245,Private,Forest land,Unused/Other,147.0284068,0,0,0,2
14983,AustinTX2022Curr,1114739,48,1,1,Live,NA,838,Quercus virginiana,1,5.6,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,495.1773285,5,0,0,2
14984,AustinTX2022Curr,1114659,48,1,13,Live,NA,994,Triadica sebifera,1,3.1,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,195.4794194,0,0,0,2
14985,AustinTX2022Curr,1114659,48,1,1,Live,NA,462,Celtis occidentalis,1,11.4,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,4577.611515,10,0,0,2
14986,AustinTX2022Curr,1114659,48,1,11,Live,NA,994,Triadica sebifera,1,1.8,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,58.73838484,5,0,0,2
14996,AustinTX2022Curr,1114805,48,1,1,Live,NA,61,Juniperus ashei,1,6,6.018046286,Private,Forest land,Unused/Other,245.7921108,0,0,0,2
14997,AustinTX2022Curr,1114805,48,1,11,Live,NA,838,Quercus virginiana,1,2.4,74.96528245,Private,Forest land,Unused/Other,88.09013397,5,0,0,2
14998,AustinTX2022Curr,1114554,48,2,1,Live,NA,838,Quercus virginiana,1,19.1,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,4908.699536,0,1,1,1
17396,AustinTX2022Curr,1114797,48,1,1,Live,NA,61,Juniperus ashei,5,11.6,6.018046286,Private,Forest land,Unused/Other,950.7878557,0,0,0,NA
17397,AustinTX2022Curr,1114803,48,1,1,Live,NA,61,Juniperus ashei,5,9,6.018046286,Private,Forest land,Unused/Other,448.5643875,40,0,0,NA
17398,AustinTX2022Curr,1114803,48,1,1,Live,NA,61,Juniperus ashei,5,9.3,6.018046286,Private,Forest land,Unused/Other,1071.359799,10,0,0,NA
17399,AustinTX2022Curr,1114803,48,1,1,Live,NA,61,Juniperus ashei,1,6.1,6.018046286,Private,Forest land,Unused/Other,257.4764806,5,0,0,NA
17410,AustinTX2022Curr,1114809,48,1,1,Live,NA,61,Juniperus ashei,3,12.1,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1168.367811,10,0,0,NA
17411,AustinTX2022Curr,1114809,48,1,1,Live,NA,61,Juniperus ashei,1,5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,201.7002128,15,0,0,NA
17412,AustinTX2022Curr,1114809,48,1,1,Live,NA,61,Juniperus ashei,10,14.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1378.031082,5,0,0,NA
17413,AustinTX2022Curr,1114809,48,1,1,Live,NA,61,Juniperus ashei,1,8.4,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,756.1494352,5,0,0,NA
17414,AustinTX2022Curr,1114809,48,1,14,Live,NA,61,Juniperus ashei,1,2.4,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,56.26271797,30,0,0,NA
17415,AustinTX2022Curr,1114809,48,1,1,Live,NA,61,Juniperus ashei,1,6.1,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,504.4827183,10,0,0,NA
17418,AustinTX2022Curr,1114788,48,1,1,Live,NA,61,Juniperus ashei,2,5.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,450.4942297,0,0,0,NA
17419,AustinTX2022Curr,1114788,48,1,1,Live,NA,61,Juniperus ashei,1,11.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1425.52719,0,0,0,NA
17420,AustinTX2022Curr,1114700,48,1,1,Live,NA,838,Quercus virginiana,3,21.8,6.018046286,Private,Residential,Residential,6809.896685,0,1,0,1
17421,AustinTX2022Curr,1114728,48,1,1,Live,NA,973,Ulmus crassifolia,1,8.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,2630.812166,5,0,0,NA
17422,AustinTX2022Curr,1114728,48,1,1,Live,NA,756,Prosopis glandulosa,1,12.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,690.3198519,45,0,0,NA
17423,AustinTX2022Curr,1114728,48,1,1,Live,NA,973,Ulmus crassifolia,1,5.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,637.1987768,0,0,0,NA
17424,AustinTX2022Curr,1114728,48,1,11,Live,NA,973,Ulmus crassifolia,1,1.6,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,45.82232649,0,0,0,NA
17425,AustinTX2022Curr,1114728,48,1,12,Live,NA,973,Ulmus crassifolia,1,1.1,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,35.10640782,5,0,0,NA
17434,AustinTX2022Curr,1114730,48,1,1,Live,NA,756,Prosopis glandulosa,4,5.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,158.5093578,20,0,0,NA
17435,AustinTX2022Curr,1114730,48,1,1,Live,NA,756,Prosopis glandulosa,4,7.3,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,231.8608842,30,0,0,NA
17436,AustinTX2022Curr,1114730,48,1,1,Live,NA,756,Prosopis glandulosa,4,8.8,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1014.35929,0,0,0,NA
17438,AustinTX2022Curr,1114784,48,2,1,Live,NA,7532,Lagerstroemia indica,1,8.9,6.018046286,StateLocal,Rights-of-Way,Transportation/Utility,576.6769773,0,1,1,1
17440,AustinTX2022Curr,1114757,48,1,1,Live,NA,61,Juniperus ashei,1,5.7,6.018046286,Private,Forest land,Unused/Other,290.6651297,0,0,0,NA
17441,AustinTX2022Curr,1114757,48,1,1,Dead,Yes,61,Juniperus ashei,6,9.3,6.018046286,Private,Forest land,Unused/Other,0,NA,0,0,NA
17442,AustinTX2022Curr,1114757,48,1,1,Live,NA,61,Juniperus ashei,3,13.5,6.018046286,Private,Forest land,Unused/Other,1573.976739,0,0,0,NA
17449,AustinTX2022Curr,1114770,48,3,1,Live,NA,61,Juniperus ashei,1,7.5,6.018046286,StateLocal,Forest land,Unused/Other,482.0766873,0,0,0,NA
17450,AustinTX2022Curr,1114770,48,3,1,Live,NA,61,Juniperus ashei,1,8.4,6.018046286,StateLocal,Forest land,Unused/Other,451.6539461,0,0,0,NA
17453,AustinTX2022Curr,1114713,48,1,1,Live,NA,828,Quercus texana,1,47.5,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,16266.37205,5,1,0,1
17458,AustinTX2022Curr,1114829,48,1,1,Live,NA,838,Quercus virginiana,1,17,6.018046286,Private,Forest land,Unused/Other,4344.921704,5,0,0,NA
17459,AustinTX2022Curr,1114829,48,1,11,Live,NA,522,Diospyros texana,1,1.5,74.96528245,Private,Forest land,Unused/Other,46.39466562,5,0,0,NA
17460,AustinTX2022Curr,1114829,48,1,1,Live,NA,973,Ulmus crassifolia,1,9.9,6.018046286,Private,Forest land,Unused/Other,1992.533581,10,0,0,NA
17461,AustinTX2022Curr,1114795,48,1,1,Dead,Yes,61,Juniperus ashei,1,8.3,6.018046286,StateLocal,Forest land,Unused/Other,0,NA,0,0,NA
17478,AustinTX2022Curr,1114781,48,1,1,Live,NA,838,Quercus virginiana,1,6.4,6.018046286,StateLocal,Forest land,Unused/Other,672.7340662,0,0,0,NA
17480,AustinTX2022Curr,1114799,48,1,1,Dead,Yes,61,Juniperus ashei,1,13.6,6.018046286,Private,Forest land,Unused/Other,0,NA,0,0,NA
17481,AustinTX2022Curr,1114799,48,1,1,Live,NA,61,Juniperus ashei,1,8,6.018046286,Private,Forest land,Unused/Other,572.2066728,5,0,0,NA
17482,AustinTX2022Curr,1114799,48,1,1,Live,NA,838,Quercus virginiana,1,9.8,6.018046286,Private,Forest land,Unused/Other,1538.008832,5,0,0,NA
17483,AustinTX2022Curr,1114835,48,1,12,Live,NA,8851,Ulmus parvifolia,1,2.2,74.96528245,Private,Residential,Residential,84.40454721,5,1,0,1
17516,AustinTX2022Curr,1114735,48,1,1,Live,NA,838,Quercus virginiana,2,17.6,6.018046286,Private,Residential,Residential,4419.98801,5,1,1,1
17559,AustinTX2022Curr,1114591,48,1,1,Live,NA,973,Ulmus crassifolia,1,8,6.018046286,Private,Residential,Residential,1231.964733,0,1,0,2
17560,AustinTX2022Curr,1114701,48,1,1,Live,NA,61,Juniperus ashei,1,7.5,6.018046286,Private,Multi-family,Multi-family,211.960225,0,1,1,1
17561,AustinTX2022Curr,1114704,48,1,1,Live,NA,7575,Ligustrum sinense,1,10,6.018046286,OtherFederal,Forest land,Unused/Other,1131.360174,0,0,0,2
17562,AustinTX2022Curr,1114704,48,1,1,Live,NA,973,Ulmus crassifolia,1,7.6,6.018046286,OtherFederal,Forest land,Unused/Other,1118.66808,0,0,0,2
17563,AustinTX2022Curr,1114804,48,1,1,Live,NA,61,Juniperus ashei,1,8.5,6.018046286,Private,Forest land,Unused/Other,819.8381377,10,0,0,2
17564,AustinTX2022Curr,1114831,48,1,1,Live,NA,973,Ulmus crassifolia,1,10.4,6.018046286,StateLocal,Commercial/Industrial,Institutional/Commercial,1952.023746,0,1,0,1
17565,AustinTX2022Curr,1089208,48,1,1,Live,NA,61,Juniperus ashei,1,5.1,6.018046286,StateLocal,Forest land,Unused/Other,241.4898483,0,0,0,2
17566,AustinTX2022Curr,1114818,48,1,1,Live,NA,61,Juniperus ashei,1,6.3,6.018046286,Private,Residential,Residential,214.7518035,5,0,0,2
17568,AustinTX2022Curr,1114578,48,1,1,Live,NA,61,Juniperus ashei,2,6.3,6.018046286,Private,Residential,Residential,626.7097053,0,0,0,2
17569,AustinTX2022Curr,1114578,48,1,14,Live,NA,61,Juniperus ashei,1,1.6,74.96528245,Private,Residential,Residential,19.65679457,0,0,0,2
17571,AustinTX2022Curr,1114560,48,1,1,Live,NA,7577,Ligustrum japonicum,7,12.9,6.018046286,Private,Residential,Residential,2625.122377,0,1,0,1
17572,AustinTX2022Curr,1114560,48,1,1,Live,NA,7532,Lagerstroemia indica,1,12.9,6.018046286,Private,Residential,Residential,1339.106661,0,1,0,1
17573,AustinTX2022Curr,1114685,48,1,1,Live,NA,544,Fraxinus pennsylvanica,1,9.6,6.018046286,Private,Forest land,Unused/Other,1109.091845,0,0,0,1
17574,AustinTX2022Curr,1114685,48,1,1,Live,NA,544,Fraxinus pennsylvanica,1,8.2,6.018046286,Private,Forest land,Unused/Other,612.5168406,0,0,0,1
17575,AustinTX2022Curr,1114698,48,1,1,Removed,NA,547,Fraxinus velutina,1,NA,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,NA,NA,NA,NA,NA
17576,AustinTX2022Curr,1114705,48,1,1,Live,NA,7532,Lagerstroemia indica,7,6.3,6.018046286,Private,Residential,Residential,493.7588892,0,1,0,1
17577,AustinTX2022Curr,1114711,48,1,1,Live,NA,7575,Ligustrum sinense,3,9.6,6.018046286,Private,Multi-family,Multi-family,655.6932753,0,1,0,1
17578,AustinTX2022Curr,1114740,48,1,1,Removed,NA,838,Quercus virginiana,1,NA,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,NA,NA,NA,NA,NA
17579,AustinTX2022Curr,1114755,48,2,1,Live,NA,7577,Ligustrum japonicum,12,15.9,6.018046286,Private,Residential,Residential,3055.065174,0,1,0,2
17580,AustinTX2022Curr,1114755,48,2,1,Live,NA,461,Celtis laevigata,1,8.4,6.018046286,Private,Residential,Residential,1846.073038,15,1,0,2
17581,AustinTX2022Curr,1114755,48,2,1,Live,NA,461,Celtis laevigata,1,13.5,6.018046286,Private,Residential,Residential,3758.700793,5,1,0,2
17582,AustinTX2022Curr,1114767,48,1,1,Live,NA,8513,Quercus buckleyi,1,16.7,6.018046286,Private,Residential,Residential,6049.714359,0,1,0,2
17583,AustinTX2022Curr,1114769,48,1,12,Live,NA,61,Juniperus ashei,1,4.4,74.96528245,StateLocal,Forest land,Unused/Other,222.5086529,5,0,0,2
17584,AustinTX2022Curr,1114769,48,1,13,Live,NA,61,Juniperus ashei,3,3.4,74.96528245,StateLocal,Forest land,Unused/Other,135.476133,0,0,0,2
17585,AustinTX2022Curr,1114769,48,1,1,Live,NA,838,Quercus virginiana,1,5.7,6.018046286,StateLocal,Forest land,Unused/Other,595.1725103,5,0,0,2
17586,AustinTX2022Curr,1114769,48,1,1,Live,NA,61,Juniperus ashei,1,5.5,6.018046286,StateLocal,Forest land,Unused/Other,181.4960572,5,0,0,2
17587,AustinTX2022Curr,1114794,48,1,1,Live,NA,61,Juniperus ashei,1,5.8,6.018046286,StateLocal,Forest land,Unused/Other,118.5452699,40,0,0,2
17588,AustinTX2022Curr,1114794,48,1,1,Live,NA,61,Juniperus ashei,1,6.6,6.018046286,StateLocal,Forest land,Unused/Other,405.5221189,5,0,0,2
17589,AustinTX2022Curr,1114794,48,1,1,Live,NA,61,Juniperus ashei,3,15.3,6.018046286,StateLocal,Forest land,Unused/Other,1739.360132,0,0,0,2
17590,AustinTX2022Curr,1114794,48,1,1,Live,NA,61,Juniperus ashei,1,10.5,6.018046286,StateLocal,Forest land,Unused/Other,1567.565626,5,0,0,2
17591,AustinTX2022Curr,1114794,48,1,1,Dead,Yes,61,Juniperus ashei,2,11.3,6.018046286,StateLocal,Forest land,Unused/Other,0,NA,0,0,2
17592,AustinTX2022Curr,1114794,48,1,1,Live,NA,838,Quercus virginiana,1,5.6,6.018046286,StateLocal,Forest land,Unused/Other,441.1672807,0,0,0,2
17593,AustinTX2022Curr,1114833,48,1,1,Live,NA,61,Juniperus ashei,1,5.5,6.018046286,Private,Forest land,Unused/Other,542.2011035,0,0,0,2
17594,AustinTX2022Curr,1114833,48,1,13,Live,NA,973,Ulmus crassifolia,1,1.3,74.96528245,Private,Forest land,Unused/Other,57.27319364,0,0,0,2
17595,AustinTX2022Curr,1114638,48,1,1,Dead,Yes,404,Carya illinoinensis,1,22.9,6.018046286,Private,Forest land,Unused/Other,0,NA,0,0,2
17596,AustinTX2022Curr,1114638,48,1,1,Live,NA,544,Fraxinus pennsylvanica,1,6,6.018046286,Private,Forest land,Unused/Other,1949.703864,0,0,0,2
17597,AustinTX2022Curr,1114638,48,1,1,Live,NA,544,Fraxinus pennsylvanica,1,5.4,6.018046286,Private,Forest land,Unused/Other,1258.880861,0,0,0,2
17598,AustinTX2022Curr,1114638,48,1,11,Live,NA,973,Ulmus crassifolia,1,3.9,74.96528245,Private,Forest land,Unused/Other,401.8576032,0,0,0,2
17599,AustinTX2022Curr,1114638,48,1,1,Live,NA,544,Fraxinus pennsylvanica,1,5.2,6.018046286,Private,Forest land,Unused/Other,1266.732215,5,0,0,2
17600,AustinTX2022Curr,1114638,48,1,1,Live,NA,973,Ulmus crassifolia,1,5.2,6.018046286,Private,Forest land,Unused/Other,1137.615598,5,0,0,2
17601,AustinTX2022Curr,1114643,48,1,1,Live,NA,7532,Lagerstroemia indica,5,10.1,6.018046286,Private,Multi-family,Multi-family,561.5419221,0,1,1,1
17603,AustinTX2022Curr,1114581,48,1,1,Live,NA,61,Juniperus ashei,1,8.7,6.018046286,StateLocal,Forest land,Unused/Other,602.90635,0,0,0,2
17604,AustinTX2022Curr,1114581,48,1,1,Live,NA,61,Juniperus ashei,1,7.8,6.018046286,StateLocal,Forest land,Unused/Other,441.2021723,0,0,0,2
17605,AustinTX2022Curr,1114581,48,1,1,Live,NA,61,Juniperus ashei,1,7.8,6.018046286,StateLocal,Forest land,Unused/Other,803.5433393,0,0,0,2
17606,AustinTX2022Curr,1114581,48,1,1,Live,NA,61,Juniperus ashei,1,8.6,6.018046286,StateLocal,Forest land,Unused/Other,542.1634901,0,0,0,2
17607,AustinTX2022Curr,1114581,48,1,1,Live,NA,61,Juniperus ashei,1,11.4,6.018046286,StateLocal,Forest land,Unused/Other,1636.861301,0,0,0,2
17608,AustinTX2022Curr,1114690,48,1,1,Live,NA,973,Ulmus crassifolia,1,11.8,6.018046286,StateLocal,Forest land,Unused/Other,2926.551311,0,0,0,2
17609,AustinTX2022Curr,1114773,48,1,14,Dead,Yes,61,Juniperus ashei,2,3.9,74.96528245,Private,Forest land,Unused/Other,0,NA,0,0,2
17610,AustinTX2022Curr,1114773,48,1,1,Live,NA,61,Juniperus ashei,1,8.3,6.018046286,Private,Forest land,Unused/Other,573.2850584,0,0,0,2
17611,AustinTX2022Curr,1114752,48,1,1,Live,NA,973,Ulmus crassifolia,1,7.4,6.018046286,Private,Rights-of-Way,Transportation/Utility,990.8043484,0,1,0,2
17612,AustinTX2022Curr,1114668,48,2,1,Dead,Yes,462,Celtis occidentalis,1,9.5,6.018046286,Private,Forest land,Unused/Other,0,NA,0,0,2
17613,AustinTX2022Curr,1114824,48,1,11,Live,NA,461,Celtis laevigata,1,1.4,74.96528245,Private,Residential,Residential,56.67182008,0,1,0,2
17614,AustinTX2022Curr,1114670,48,1,11,Live,NA,461,Celtis laevigata,1,1.2,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,52.85301503,0,0,0,2
17615,AustinTX2022Curr,1114670,48,1,12,Live,NA,602,Juglans nigra,1,1,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,49.32787842,0,0,0,2
