,EVALID,PLOTID,STATECD,CONDID,SUBP,STATUSCD,STANDING_DEAD_CD,SPCD,scientific,NBR_STEMS,DIA,TPA_UNADJ,OWNGRPCD,FIA_LANDUSE,ITREE_LANDUSE,LEAF_AREA_ITREE,CROWN_DIEBACK_CD,IS_MAINTAINED_AREA,IS_STREET_TREE,IS_PLANTED
33673,PortlandME2022Curr,2384169,23,1,1,Live,NA,833,Quercus rubra,1,16.7,6.018046286,StateLocal,Forest land,Unused/Other,7833.230734,5,0,0,2
33682,PortlandME2022Curr,2384169,23,1,1,Live,NA,833,Quercus rubra,1,17.7,6.018046286,StateLocal,Forest land,Unused/Other,7579.176465,5,0,0,2
33683,PortlandME2022Curr,2384169,23,1,1,Live,NA,746,Populus tremuloides,1,6.6,6.018046286,StateLocal,Forest land,Unused/Other,354.5870528,5,0,0,2
33684,PortlandME2022Curr,2384169,23,1,1,Live,NA,833,Quercus rubra,1,14.3,6.018046286,StateLocal,Forest land,Unused/Other,7029.598488,5,0,0,2
33685,PortlandME2022Curr,2384173,23,1,1,Live,NA,12,Abies balsamea,1,6.7,6.018046286,Private,Forest land,Unused/Other,1492.787797,5,0,0,2
33686,PortlandME2022Curr,2384173,23,1,1,Live,NA,129,Pinus strobus,1,11.1,6.018046286,Private,Forest land,Unused/Other,1547.719341,0,0,0,2
33687,PortlandME2022Curr,2384173,23,1,1,Live,NA,129,Pinus strobus,1,21.1,6.018046286,Private,Forest land,Unused/Other,5677.296886,0,0,0,2
33688,PortlandME2022Curr,2384380,23,1,11,Live,NA,316,Acer rubrum,1,2.6,74.96528245,StateLocal,Forest land,Unused/Other,443.4758718,0,0,0,2
33689,PortlandME2022Curr,2384380,23,1,14,Live,NA,500,Crataegus spp.,2,2,74.96528245,StateLocal,Forest land,Unused/Other,92.85498735,5,0,0,2
33705,PortlandME2022Curr,2384400,23,1,1,Live,NA,261,Tsuga canadensis,1,14.1,6.018046286,StateLocal,Forest land,Unused/Other,6126.733784,0,0,0,2
33727,PortlandME2022Curr,2383436,23,1,1,Live,NA,972,Ulmus americana,1,18.3,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,6390.865277,5,0,0,2
33739,PortlandME2022Curr,2384377,23,1,1,Cut & Utilized,NA,660,Malus spp.,1,NA,6.018046286,Private,Residential,Residential,NA,NA,NA,NA,NA
33740,PortlandME2022Curr,2384377,23,1,1,Cut & Utilized,NA,129,Pinus strobus,1,NA,6.018046286,Private,Residential,Residential,NA,NA,NA,NA,NA
33750,PortlandME2022Curr,2383789,23,1,1,Live,NA,316,Acer rubrum,1,5.8,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,2083.724135,5,0,0,2
33751,PortlandME2022Curr,2383789,23,1,1,Live,NA,833,Quercus rubra,1,18.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,7165.528751,10,0,0,2
33758,PortlandME2022Curr,2383802,23,1,1,Live,NA,833,Quercus rubra,1,31.5,6.018046286,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,5972.17306,20,1,0,2
33771,PortlandME2022Curr,2384392,23,1,1,Dead,Yes,129,Pinus strobus,1,7.4,6.018046286,Private,Forest land,Unused/Other,0,NA,0,0,2
33772,PortlandME2022Curr,2384079,23,1,1,Live,NA,316,Acer rubrum,1,9.3,6.018046286,Private,Forest land,Unused/Other,2946.032312,0,0,0,2
33773,PortlandME2022Curr,2383467,23,1,1,Live,NA,129,Pinus strobus,1,8,6.018046286,Private,Multi-family,Multi-family,1170.732809,0,0,0,2
34286,PortlandME2022Curr,2383481,23,1,1,Live,NA,544,Fraxinus pennsylvanica,1,14.9,6.018046286,StateLocal,Rights-of-Way,Multi-family,6616.64386,0,1,1,1
34287,PortlandME2022Curr,2384114,23,2,1,Live,NA,316,Acer rubrum,1,9.4,6.018046286,StateLocal,Multi-family,Multi-family,4998.631602,0,0,0,2
34288,PortlandME2022Curr,2384114,23,2,1,Dead,Yes,972,Ulmus americana,1,11.1,6.018046286,StateLocal,Multi-family,Multi-family,0,NA,0,0,2
