"","EVALID","PLOTID","STATECD","CONDID","SUBP","STATUSCD","STANDING_DEAD_CD","SPCD","scientific","NBR_STEMS","DIA","TPA_UNADJ","OWNGRPCD","FIA_LANDUSE","ITREE_LANDUSE","LEAF_AREA_ITREE","CROWN_DIEBACK_CD","IS_MAINTAINED_AREA","IS_STREET_TREE","IS_PLANTED","PLT_CN","MTRE_CN","CND_CN"
"89","AustinTX2023Curr",1114763,48,1,1,"Live",NA,61,"Juniperus ashei",1,9.2,6.0180462857,"Private","Forest land","Unused/Other",477.9365233258,0,0,0,2,505184009126144,1262762970290487,809628773290487
"90","AustinTX2023Curr",1114801,48,1,1,"Dead","No",61,"Juniperus ashei",NA,NA,6.0180462857,"Private","Forest land","Unused/Other",NA,NA,NA,NA,NA,505184011126144,1262762720290487,809628281290487
"91","AustinTX2023Curr",1114775,48,1,1,"Live",NA,8513,"Quercus buckleyi",1,10,6.0180462857,"StateLocal","Forest land","Unused/Other",1491.3260648952,10,0,0,2,729648994290487,941923025290487,941922981290487
"92","AustinTX2023Curr",1114775,48,1,14,"Live",NA,549,"Fraxinus texensis",1,3.3,74.9652824512,"StateLocal","Forest land","Unused/Other",181.1965141184,0,0,0,2,729648994290487,941923046290487,941922981290487
"93","AustinTX2023Curr",1114782,48,1,1,"Live",NA,61,"Juniperus ashei",2,9.4,6.0180462857,"StateLocal","Forest land","Unused/Other",692.7502553307,0,0,0,2,729649006290487,1262763116290487,941922020290487
"94","AustinTX2023Curr",1114749,48,1,1,"Dead","Yes",61,"Juniperus ashei",1,8.4,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",0,NA,0,0,2,729649008290487,1262763150290487,941922255290487
"95","AustinTX2023Curr",1114749,48,1,1,"Live",NA,6262,"Broussonetia papyrifera",1,9.4,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",1169.1854603466,10,0,0,2,729649008290487,941922281290487,941922255290487
"96","AustinTX2023Curr",1114749,48,1,1,"Dead","No",6262,"Broussonetia papyrifera",1,NA,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",NA,NA,NA,NA,NA,729649008290487,941922283290487,941922255290487
"97","AustinTX2023Curr",1114652,48,1,1,"No Status",NA,975,"Ulmus rubra",1,NA,6.0180462857,"StateLocal","Rights-of-Way","Residential",NA,NA,NA,NA,NA,729649018290487,941923526290487,941923506290487
"98","AustinTX2023Curr",1114789,48,1,1,"Live",NA,221,"Taxodium distichum",1,28.6,6.0180462857,"Private","Forest land","Unused/Other",7491.3920713466,0,0,0,2,729649020290487,941922736290487,941922694290487
"99","AustinTX2023Curr",1114719,48,1,1,"Live",NA,61,"Juniperus ashei",1,7.9,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",537.819596926,0,0,0,2,729649040290487,1262763269290487,941922817290487
"100","AustinTX2023Curr",1114719,48,1,1,"Dead","Yes",61,"Juniperus ashei",1,9.5,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",0,NA,0,0,2,729649040290487,1262763280290487,941922817290487
"102","AustinTX2023Curr",1114706,48,1,1,"Dead","No",731,"Platanus occidentalis",1,NA,6.0180462857,"Private","Residential","Residential",NA,NA,NA,NA,NA,808280535290487,1003724125290487,1003724107290487
"103","AustinTX2023Curr",1114771,48,1,1,"Dead","Yes",61,"Juniperus ashei",1,6.2,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",0,NA,0,0,2,1041544282290487,1305799217290487,1305799182290487
"104","AustinTX2023Curr",1114739,48,1,1,"Live",NA,61,"Juniperus ashei",2,10.2,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",682.3038408216,0,0,0,2,1041544294290487,1305798765290487,1305798709290487
"105","AustinTX2023Curr",1114739,48,1,1,"Dead","No",973,"Ulmus crassifolia",1,NA,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",NA,NA,NA,NA,NA,1041544294290487,1305798783290487,1305798709290487
"106","AustinTX2023Curr",1114659,48,1,12,"Live",NA,994,"Triadica sebifera",1,1.1,74.9652824512,"StateLocal","Forest land","Cemetery/Park/Golf",25.4931737035,0,0,0,2,1041544312290487,1305800065290487,1305800024290487
"124","AustinTX2023Curr",1114837,48,2,1,"Live",NA,973,"Ulmus crassifolia",1,6.3,6.0180462857,"Private","Residential","Residential",503.0344383456,5,1,0,2,1041544336290487,1305799036290487,1305799008290487
"134","AustinTX2023Curr",1114565,48,1,12,"Live",NA,463,"Celtis laevigata var. reticulata",1,1.8,74.9652824512,"StateLocal","Residential","Residential",70.4713328832,0,0,0,2,1041544367290487,1541804618290487,1541804575290487
"135","AustinTX2023Curr",1114683,48,1,1,"Dead","No",993,"Melia azedarach",1,NA,6.0180462857,"StateLocal","Rights-of-Way","Transportation/Utility",NA,NA,NA,NA,NA,1220404208290487,1589154197290487,1589154180290487
"136","AustinTX2023Curr",1114743,48,1,1,"Dead","No",547,"Fraxinus velutina",1,NA,6.0180462857,"Private","Residential","Residential",NA,NA,NA,NA,NA,1220404217290487,1589153997290487,1589153965290487
"137","AustinTX2023Curr",1114728,48,1,1,"Live",NA,973,"Ulmus crassifolia",1,6.2,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",537.0392030982,0,0,0,2,1220404226290487,1589155596290487,1589155555290487
"138","AustinTX2023Curr",1114728,48,1,1,"Dead","No",756,"Prosopis glandulosa",NA,NA,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",NA,NA,NA,NA,NA,1220404226290487,1589155604290487,1589155555290487
"148","AustinTX2023Curr",1114819,48,1,1,"Dead","No",461,"Celtis laevigata",1,NA,6.0180462857,"Private","Residential","Residential",NA,NA,NA,NA,NA,1220404229290487,1589155799290487,1589155784290487
"149","AustinTX2023Curr",1114795,48,1,1,"Dead","No",61,"Juniperus ashei",NA,NA,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",NA,NA,NA,NA,NA,1220404235290487,1589154853290487,1589154825290487
"182","AustinTX2023Curr",1114803,48,1,14,"Live",NA,61,"Juniperus ashei",1,1.7,74.9652824512,"Private","Forest land","Unused/Other",42.4557966564,0,0,0,2,1220404253290487,1589155271290487,1589155218290487
"1445","AustinTX2023Curr",1114809,48,1,14,"Live",NA,61,"Juniperus ashei",1,2.4,74.9652824512,"StateLocal","Forest land","Cemetery/Park/Golf",35.7238748118,30,0,0,NA,251083000489998,1262758606290487,140388
"1447","AustinTX2023Curr",1114809,48,1,1,"Live",NA,61,"Juniperus ashei",1,10,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",320.6171723982,15,0,0,NA,251083000489998,1262760169290487,140388
"1448","AustinTX2023Curr",1114809,48,1,1,"Live",NA,61,"Juniperus ashei",1,9.4,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",441.0808659652,0,0,0,NA,251083000489998,1262760175290487,140388
"1449","AustinTX2023Curr",1114809,48,1,1,"Live",NA,61,"Juniperus ashei",1,5,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",141.8064929522,5,0,0,NA,251083000489998,1262760179290487,140388
