own2,city,richness,Evar,EVALID,plot_count_Curr,city_acres,ForestService,OtherFederal,Private,StateLocal,Agriculture,Commercial/Industrial,Forest land,Multi-family,Nonsampled,OtherNonforest,Rangeland/Chaparral,Recreation/Cemetery,Residential,Rights-of-Way,Water,city.y.y,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,ecoregion1,ecoregion2,ecoregion3,classification_1,classification_2,classification_3
Private,MinneapolisMN,49,0.505227815385413,MinneapolMN2022Curr,196,36782.715933,NA,1015.2019537199791,18567.363379156253,15048.61714139052,NA,4462.340314816763,658.7686419738619,2206.43988028091,NA,NA,NA,4078.677948146824,11682.54192573422,11542.413763314173,2164.468950057139,Minneapolis,Minneapolis,MN,Minnesota,27053,Hennepin,44.9635,-93.2678,2906807,3052,shape,FALSE,TRUE,America/Chicago,1,55404 55409 55408 55407 55406 55405 55403 55402 55401 55454 55455 55430 55418 55419 55410 55411 55412 55413 55414 55415 55416 55417 55440 55458 55459 55467 55470 55472 55474 55478 55479 55480 55483 55484 55485 55486 55487 55488,1840007830,eastern temperate forests,mixed wood plains,north central hardwood forests,forested,forested,forested
Public,MinneapolisMN,33,0.44088353834488625,MinneapolMN2022Curr,196,36782.715933,NA,1015.2019537199791,18567.363379156253,15048.61714139052,NA,4462.340314816763,658.7686419738619,2206.43988028091,NA,NA,NA,4078.677948146824,11682.54192573422,11542.413763314173,2164.468950057139,Minneapolis,Minneapolis,MN,Minnesota,27053,Hennepin,44.9635,-93.2678,2906807,3052,shape,FALSE,TRUE,America/Chicago,1,55404 55409 55408 55407 55406 55405 55403 55402 55401 55454 55455 55430 55418 55419 55410 55411 55412 55413 55414 55415 55416 55417 55440 55458 55459 55467 55470 55472 55474 55478 55479 55480 55483 55484 55485 55486 55487 55488,1840007830,eastern temperate forests,mixed wood plains,north central hardwood forests,forested,forested,forested
Private,PittsburghPA,48,0.396504178281454,PittsburghPA2022Curr,182,37326.69288,NA,181.16016761593576,21694.19827804546,13885.073651310237,NA,6713.337061838984,7174.016818615933,1952.6935278924932,NA,NA,NA,2172.5974143876656,11009.382191371928,6738.405082864628,1566.260782835169,Pittsburgh,Pittsburgh,PA,Pennsylvania,42003,Allegheny,40.4397,-79.9763,1712828,2116.9,shape,FALSE,TRUE,America/New_York,1,15282 15216 15217 15214 15212 15213 15210 15211 15218 15219 15290 15232 15260 15233 15205 15204 15207 15206 15201 15203 15208 15234 15222 15221 15220 15226 15224 15120 15230 15240 15250 15251 15252 15253 15254 15255 15257 15258 15259 15261 15262 15264 15265 15267 15270 15272 15274 15279 15281 15286 15289 15295,1840001254,eastern temperate forests,ozark/ouachita-appalachian forests,western allegheny plateau,forested,forested,forested
Public,PittsburghPA,37,0.3330300212345293,PittsburghPA2022Curr,182,37326.69288,NA,181.16016761593576,21694.19827804546,13885.073651310237,NA,6713.337061838984,7174.016818615933,1952.6935278924932,NA,NA,NA,2172.5974143876656,11009.382191371928,6738.405082864628,1566.260782835169,Pittsburgh,Pittsburgh,PA,Pennsylvania,42003,Allegheny,40.4397,-79.9763,1712828,2116.9,shape,FALSE,TRUE,America/New_York,1,15282 15216 15217 15214 15212 15213 15210 15211 15218 15219 15290 15232 15260 15233 15205 15204 15207 15206 15201 15203 15208 15234 15222 15221 15220 15226 15224 15120 15230 15240 15250 15251 15252 15253 15254 15255 15257 15258 15259 15261 15262 15264 15265 15267 15270 15272 15274 15279 15281 15286 15289 15295,1840001254,eastern temperate forests,ozark/ouachita-appalachian forests,western allegheny plateau,forested,forested,forested
Private,PortlandME,40,0.2707472696703074,PortlandME2022Curr,179,12743.20485,NA,NA,6867.668724894855,4782.748545711423,224.18243800651499,2626.980751024016,2002.368924798884,918.2807714945515,NA,202.86783748929352,NA,1036.2703309550163,2392.3381083086974,2247.128108529303,1092.7875794099248,Portland,Portland,ME,Maine,23005,Cumberland,43.6773,-70.2715,213660,1228,shape,FALSE,TRUE,America/New_York,2,04101 04102 04103 04108 04109 04019 04104 04112 04116 04122 04123 04124,1840000327,eastern temperate forests,mixed wood plains,northeastern coastal zone,forested,forested,forested
Public,PortlandME,32,0.3177021234815822,PortlandME2022Curr,179,12743.20485,NA,NA,6867.668724894855,4782.748545711423,224.18243800651499,2626.980751024016,2002.368924798884,918.2807714945515,NA,202.86783748929352,NA,1036.2703309550163,2392.3381083086974,2247.128108529303,1092.7875794099248,Portland,Portland,ME,Maine,23005,Cumberland,43.6773,-70.2715,213660,1228,shape,FALSE,TRUE,America/New_York,2,04101 04102 04103 04108 04109 04019 04104 04112 04116 04122 04123 04124,1840000327,eastern temperate forests,mixed wood plains,northeastern coastal zone,forested,forested,forested
Private,PortlandOR,69,0.5010290126096764,PortlandOR2022Curr,193,92851.7053005,NA,662.6491486980364,49679.55543924047,35368.81371402439,786.7317283365875,18961.92384959857,10614.022908188279,3630.779649161783,NA,NA,NA,6503.296298192865,25191.078383617638,18929.62724946718,8234.24523365508,Portland,Portland,OR,Oregon,41051,Multnomah,45.5371,-122.65,2084045,1859,shape,FALSE,TRUE,America/Los_Angeles,1,97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97258 97266 97219 97213 97236 97232 97233 97230 97239 97218 97214 97215 97216 97217 97210 97211 97212 97207 97228 97238 97240 97242 97250 97251 97252 97253 97254 97256 97280 97282 97283 97286 97290 97291 97292 97293 97294,1840019941,marine west coast forest,marine west coast forest,willamette valley,forested,forested,forested
Public,PortlandOR,38,0.32586662545390577,PortlandOR2022Curr,193,92851.7053005,NA,662.6491486980364,49679.55543924047,35368.81371402439,786.7317283365875,18961.92384959857,10614.022908188279,3630.779649161783,NA,NA,NA,6503.296298192865,25191.078383617638,18929.62724946718,8234.24523365508,Portland,Portland,OR,Oregon,41051,Multnomah,45.5371,-122.65,2084045,1859,shape,FALSE,TRUE,America/Los_Angeles,1,97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97258 97266 97219 97213 97236 97232 97233 97230 97239 97218 97214 97215 97216 97217 97210 97211 97212 97207 97228 97238 97240 97242 97250 97251 97252 97253 97254 97256 97280 97282 97283 97286 97290 97291 97292 97293 97294,1840019941,marine west coast forest,marine west coast forest,willamette valley,forested,forested,forested
Private,ProvidenceRI,39,0.5008378337890729,ProvidenceRI2022Curr,197,13164.420033,NA,48.22502348967114,7075.375128549635,4571.239474184057,NA,3691.6304374189867,452.0470660957311,1007.5105150670219,NA,NA,NA,625.1089515163842,2602.490830151903,3316.051825973336,1469.5804066823778,Providence,Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187,1270529,3990.1,shape,FALSE,TRUE,America/New_York,1,02903 02906 02907 02908 02904 02905 02909 02912 02918 02901 02902 02940,1840003289,eastern temperate forests,mixed wood plains,northeastern coastal zone,forested,forested,forested
Public,ProvidenceRI,42,0.6040109977600447,ProvidenceRI2022Curr,197,13164.420033,NA,48.22502348967114,7075.375128549635,4571.239474184057,NA,3691.6304374189867,452.0470660957311,1007.5105150670219,NA,NA,NA,625.1089515163842,2602.490830151903,3316.051825973336,1469.5804066823778,Providence,Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187,1270529,3990.1,shape,FALSE,TRUE,America/New_York,1,02903 02906 02907 02908 02904 02905 02909 02912 02918 02901 02902 02940,1840003289,eastern temperate forests,mixed wood plains,northeastern coastal zone,forested,forested,forested
Private,RochesterNY,48,0.5002152235608284,RochesterNY2022Curr,189,23779.309518,NA,116.75521561462902,12100.223063268664,10699.44554043233,NA,6023.553053487978,2268.5076530457322,1124.9650347298427,NA,138.5504709433169,NA,2168.8544680171267,5648.504160729011,5543.488978362616,862.8856987175002,Rochester,Rochester,NY,New York,36055,Monroe,43.168,-77.6162,694707,2264.3,shape,FALSE,TRUE,America/New_York,2,14608 14609 14606 14607 14604 14605 14627 14620 14621 14619 14615 14614 14617 14611 14610 14613 14612 14642 14602 14603 14638 14639 14643 14644 14646 14647 14649 14650 14651 14653,1840000373,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
Public,RochesterNY,63,0.4529244225961305,RochesterNY2022Curr,189,23779.309518,NA,116.75521561462902,12100.223063268664,10699.44554043233,NA,6023.553053487978,2268.5076530457322,1124.9650347298427,NA,138.5504709433169,NA,2168.8544680171267,5648.504160729011,5543.488978362616,862.8856987175002,Rochester,Rochester,NY,New York,36055,Monroe,43.168,-77.6162,694707,2264.3,shape,FALSE,TRUE,America/New_York,2,14608 14609 14606 14607 14604 14605 14627 14620 14621 14619 14615 14614 14617 14611 14610 14613 14612 14642 14602 14603 14638 14639 14643 14644 14646 14647 14649 14650 14651 14653,1840000373,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
