own2,city,richness,Evar,EVALID,plot_count_Curr,city_acres,ForestService,OtherFederal,Private,StateLocal,Agriculture,Commercial/Industrial,Forest land,Multi-family,Nonsampled,OtherNonforest,Rangeland/Chaparral,Recreation/Cemetery,Residential,Rights-of-Way,Water,city.y.y,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,ecoregion1,ecoregion2,ecoregion3,classification_1,classification_2,classification_3
Public,SanDiegoCA,27,0.6047338213860991,SanDiegoCA2023Curr,194,169853.5769805,NA,6365.138004293027,89527.93823551714,65480.48356234535,1934.5542278214532,33713.259680911535,1432.476361117258,6313.479061699323,NA,333.0031229914456,39076.284517158354,9716.440148974105,39112.621491574995,29741.44118990704,8480.031750312775,San Diego,San Diego,CA,California,06073,San Diego,32.8313,-117.1222,3057778,1640,shape,FALSE,TRUE,America/Los_Angeles,1,92182 92109 92108 92107 92106 92103 92101 92116 92117 92154 92115 92140 92161 92105 92104 92102 92071 92132 92130 92131 92136 92134 92139 92025 92027 92147 92145 92014 92093 92092 92119 92110 92111 92121 92120 92123 92122 92124 92127 92126 92129 92128 92037 92173 92113 92114 92038 92039 92072 92112 92137 92138 92142 92143 92149 92150 92152 92153 92158 92159 92160 92163 92165 92166 92167 92168 92169 92170 92171 92172 92174 92175 92176 92177 92186 92187 92191 92192 92193 92195 92196 92197 92198 92199,1840021990,mediterranean california,mediterranean california,"california coastal sage, chaparral, and oak woodlands",not forested,not forested,not forested
Private,SpringfieldMO,47,0.42733601508304975,SpringfielMO2020Curr,190,52658.784284655325,NA,1181.8958038029878,35709.350591318034,15178.730058712348,4203.188898892993,14180.657886407193,3305.9800925928703,1759.9194139485012,NA,NA,NA,3324.870186550569,15485.482327856871,9809.877647584372,588.8130585205772,Springfield,Springfield,MO,Missouri,29077,Greene,37.1943,-93.2916,289041,786.2,shape,FALSE,TRUE,America/Chicago,2,65810 65897 65619 65801 65802 65803 65804 65806 65807 65809 65805 65808 65814 65817 65890 65898 65899,1840009904,eastern temperate forests,ozark/ouachita-appalachian forests,ozark highlands,forested,forested,forested
Public,SpringfieldMO,21,0.5121297194963934,SpringfielMO2020Curr,190,52658.784284655325,NA,1181.8958038029878,35709.350591318034,15178.730058712348,4203.188898892993,14180.657886407193,3305.9800925928703,1759.9194139485012,NA,NA,NA,3324.870186550569,15485.482327856871,9809.877647584372,588.8130585205772,Springfield,Springfield,MO,Missouri,29077,Greene,37.1943,-93.2916,289041,786.2,shape,FALSE,TRUE,America/Chicago,2,65810 65897 65619 65801 65802 65803 65804 65806 65807 65809 65805 65808 65814 65817 65890 65898 65899,1840009904,eastern temperate forests,ozark/ouachita-appalachian forests,ozark highlands,forested,forested,forested
Private,StLouisMO,48,0.5886526039396351,StLouisMO2023Curr,194,42262.516413,NA,484.7838176206976,23416.1324135293,15244.994967979203,NA,10424.144180731439,136.02603778242934,1618.7102950479098,NA,43.10163031548691,NA,4285.842369364554,11686.310942180327,10951.775743707058,3116.6023160999644,St. Louis,St. Louis,MO,Missouri,29510,St. Louis,38.6359,-90.2451,2127843,1833.6,shape,FALSE,TRUE,America/Chicago,1,63110 63111 63112 63113 63115 63116 63118 63120 63139 63107 63106 63104 63103 63102 63101 63109 63108 63155 63137 63143 63147 63150 63156 63157 63158 63160 63163 63164 63166 63169 63177 63178 63179 63180 63188 63197,1840001651,eastern temperate forests,southeastern usa plains,interior river valleys and hills,forested,forested,forested
Public,StLouisMO,38,0.6854152319481308,StLouisMO2023Curr,194,42262.516413,NA,484.7838176206976,23416.1324135293,15244.994967979203,NA,10424.144180731439,136.02603778242934,1618.7102950479098,NA,43.10163031548691,NA,4285.842369364554,11686.310942180327,10951.775743707058,3116.6023160999644,St. Louis,St. Louis,MO,Missouri,29510,St. Louis,38.6359,-90.2451,2127843,1833.6,shape,FALSE,TRUE,America/Chicago,1,63110 63111 63112 63113 63115 63116 63118 63120 63139 63107 63106 63104 63103 63102 63101 63109 63108 63155 63137 63143 63147 63150 63156 63157 63158 63160 63163 63164 63166 63169 63177 63178 63179 63180 63188 63197,1840001651,eastern temperate forests,southeastern usa plains,interior river valleys and hills,forested,forested,forested
Private,TrentonNJ,73,0.36906226987110446,TrentonNJ2023Curr,171,86180.982273,NA,860.1363896538462,53400.41541193851,30727.57465163191,3663.0591848671306,17088.241505879654,15597.332748750676,4220.766377088319,NA,894.9277407382234,NA,5326.3688393660805,22877.180216904926,15320.249839629258,1192.8674912998626,Trenton,Trenton,NJ,New Jersey,34021,Mercer,40.2237,-74.7641,362501,4566.7,shape,FALSE,TRUE,America/New_York,2,08638 08611 08618 08629 08609 08608 08601 08603 08604 08605 08607 08625 08645 08646 08647 08666 08695,1840001383,eastern temperate forests,mississippi alluvial and southeast usa coastal plains,atlantic coastal pine barrens,forested,forested,forested
Public,TrentonNJ,46,0.4102660068306979,TrentonNJ2023Curr,171,86180.982273,NA,860.1363896538462,53400.41541193851,30727.57465163191,3663.0591848671306,17088.241505879654,15597.332748750676,4220.766377088319,NA,894.9277407382234,NA,5326.3688393660805,22877.180216904926,15320.249839629258,1192.8674912998626,Trenton,Trenton,NJ,New Jersey,34021,Mercer,40.2237,-74.7641,362501,4566.7,shape,FALSE,TRUE,America/New_York,2,08638 08611 08618 08629 08609 08608 08601 08603 08604 08605 08607 08625 08645 08646 08647 08666 08695,1840001383,eastern temperate forests,mississippi alluvial and southeast usa coastal plains,atlantic coastal pine barrens,forested,forested,forested
Private,WashingtonDC,56,0.5979497377802725,WashingtonDC2023Curr,188,43736.7695535,NA,10018.418548077814,17077.54403374372,11978.743120239278,NA,6774.021681185198,3923.444037614782,4583.895781276388,NA,214.74516274588544,NA,5325.588201158285,8600.654594299467,9652.356243780807,4662.0760244605835,Washington,Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5146120,4245.2,shape,FALSE,TRUE,America/New_York,1,20250 20010 20011 20012 20015 20520 20064 20418 20415 20388 20319 20020 20024 20510 20515 20591 20427 20422 20542 20540 20240 20245 20390 20005 20004 20003 20002 20001 20009 20008 20016 20317 20059 20057 20052 20017 20018 20565 20566 20560 20220 20551 20019 20230 20373 20260 20007 20006 20032 20036 20037 20204 20431 20045 20408 20535 20530 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20042 20043 20044 20047 20049 20050 20053 20055 20056 20058 20060 20061 20062 20063 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20202 20203 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20221 20222 20223 20224 20226 20227 20228 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20405 20406 20407 20410 20411 20412 20413 20414 20416 20417 20419 20420 20421 20423 20424 20425 20426 20428 20429 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20506 20507 20508 20509 20511 20521 20522 20523 20524 20525 20526 20527 20528 20529 20531 20533 20534 20536 20537 20538 20539 20541 20543 20544 20546 20547 20548 20549 20552 20553 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20590 20593 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,1840006060,eastern temperate forests,southeastern usa plains,northern piedmont,forested,forested,forested
Public,WashingtonDC,51,0.44481784577870265,WashingtonDC2023Curr,188,43736.7695535,NA,10018.418548077814,17077.54403374372,11978.743120239278,NA,6774.021681185198,3923.444037614782,4583.895781276388,NA,214.74516274588544,NA,5325.588201158285,8600.654594299467,9652.356243780807,4662.0760244605835,Washington,Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5146120,4245.2,shape,FALSE,TRUE,America/New_York,1,20250 20010 20011 20012 20015 20520 20064 20418 20415 20388 20319 20020 20024 20510 20515 20591 20427 20422 20542 20540 20240 20245 20390 20005 20004 20003 20002 20001 20009 20008 20016 20317 20059 20057 20052 20017 20018 20565 20566 20560 20220 20551 20019 20230 20373 20260 20007 20006 20032 20036 20037 20204 20431 20045 20408 20535 20530 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20042 20043 20044 20047 20049 20050 20053 20055 20056 20058 20060 20061 20062 20063 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20202 20203 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20221 20222 20223 20224 20226 20227 20228 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20405 20406 20407 20410 20411 20412 20413 20414 20416 20417 20419 20420 20421 20423 20424 20425 20426 20428 20429 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20506 20507 20508 20509 20511 20521 20522 20523 20524 20525 20526 20527 20528 20529 20531 20533 20534 20536 20537 20538 20539 20541 20543 20544 20546 20547 20548 20549 20552 20553 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20590 20593 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,1840006060,eastern temperate forests,southeastern usa plains,northern piedmont,forested,forested,forested
Private,WichitaKS,43,0.43368213228089314,WichitaKS2023Curr,193,104687.5405905,NA,1767.8499709281514,60647.24377852175,39570.953909175805,8067.521626186924,20539.599098608927,4738.532681604381,2942.8521573243233,NA,NA,185.48471288608908,5955.353672774059,33715.22449893744,25841.47921030356,2701.4926765409978,Wichita,Wichita,KS,Kansas,20173,Sedgwick,37.6895,-97.3443,501760,939.5,shape,FALSE,TRUE,America/Chicago,2,67230 67235 67260 67217 67216 67215 67214 67213 67212 67211 67210 67219 67218 67223 67220 67226 67202 67203 67204 67205 67206 67207 67208 67209 67201 67275 67276 67277 67278,1840001686,great plains,south central semiarid prairies,central great plains,not forested,not forested,not forested
